"class","class_id","department","fiscal_year","fund","minor_class","minor_class_id","total"
"Personal Services","1","City Council","2016","General Operating Fund","Salary Control","100","100000"
"Personal Services","1","City Council","2016","General Operating Fund","Perm Full Time-civilian","101","13939858"
"Personal Services","1","City Council","2016","General Operating Fund","Perm Part Time","111","195000"
"Personal Services","1","City Council","2016","General Operating Fund","Temporary Seasonal","121","75000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Cleaning and Laundering","201","485"
"Purchase of Services","2","City Council","2016","General Operating Fund","Janitorial Services","202","2500"
"Purchase of Services","2","City Council","2016","General Operating Fund","Telephone","209","2000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Postage","210","150000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Transportation","211","10000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","10000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","5000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Advertising/promotional Activities","240","600000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Professional Consult/spec Services","250","605000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Information Technology-prof Service","251","150000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Dues","255","2500"
"Purchase of Services","2","City Council","2016","General Operating Fund","Seminar and Training Sessions","256","5000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Court Reporters","258","175000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Repair and Maintenance Charges","260","10000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","25000"
"Purchase of Services","2","City Council","2016","General Operating Fund","Rents","285","152000"
"Materials and Supplies","3","City Council","2016","General Operating Fund","Agricultural and Botanical","301","750"
"Materials and Supplies","3","City Council","2016","General Operating Fund","Books and Other Publications","304","140000"
"Materials and Supplies","3","City Council","2016","General Operating Fund","Building and Construction","305","750"
"Materials and Supplies","3","City Council","2016","General Operating Fund","Cordage and Fibers","309","1000"
"Materials and Supplies","3","City Council","2016","General Operating Fund","Electrical and Communication","310","3500"
"Materials and Supplies","3","City Council","2016","General Operating Fund","Food","313","7500"
"Materials and Supplies","3","City Council","2016","General Operating Fund","General Hardware and Minor Tools","316","1000"
"Materials and Supplies","3","City Council","2016","General Operating Fund","Janitorial, Laundry and Household","318","5000"
"Materials and Supplies","3","City Council","2016","General Operating Fund","Office Materials and Supplies","320","90000"
"Materials and Supplies","3","City Council","2016","General Operating Fund","Precision, Photographic and Artists","324","1500"
"Materials and Supplies","3","City Council","2016","General Operating Fund","Printing","325","110000"
"Equipment","4","City Council","2016","General Operating Fund","Office Equipment","420","25000"
"Equipment","4","City Council","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","423","4000"
"Equipment","4","City Council","2016","General Operating Fund","Computer Equipment & Peripherals","427","60000"
"Equipment","4","City Council","2016","General Operating Fund","Furniture and Furnishings","430","60650"
"Contributions, Indemnities, Refunds, Taxes","5","City Council","2016","General Operating Fund","Other Expenses (noc)","599","25000100"
"Payments to Other Funds","8","City Council","2016","General Operating Fund","Pmt to Other Funds Control","800","100"
"Advances & Other Misc Payments","9","City Council","2016","General Operating Fund","Standby Authorizations","999","100"
"Personal Services","1","Mayor's Office-labor Relations","2016","General Operating Fund","Perm Full Time-civilian","101","545080"
"Personal Services","1","Mayor's Office-labor Relations","2016","General Operating Fund","Overtime Civilian","161","13949"
"Purchase of Services","2","Mayor's Office-labor Relations","2016","General Operating Fund","Transportation","211","500"
"Purchase of Services","2","Mayor's Office-labor Relations","2016","General Operating Fund","Seminar and Training Sessions","256","4777"
"Materials and Supplies","3","Mayor's Office-labor Relations","2016","General Operating Fund","Books and Other Publications","304","5560"
"Materials and Supplies","3","Mayor's Office-labor Relations","2016","General Operating Fund","Office Materials and Supplies","320","1000"
"Equipment","4","Mayor's Office-labor Relations","2016","General Operating Fund","Office Equipment","420","1600"
"Personal Services","1","Office of Innovation & Technology","2016","General Operating Fund","Salary Control","100","154453"
"Personal Services","1","Office of Innovation & Technology","2016","General Operating Fund","Perm Full Time-civilian","101","18580449"
"Personal Services","1","Office of Innovation & Technology","2016","General Operating Fund","Plus/minus Gross Adj","109","153725"
