"FY","FM","Char","Character Title","Sub-obj","Sub-object Title","Fund","Dept","Original Appn Balance","Total  (Original Appn Balance) No.8","Total  (Original Appn Balance) No.7","Total  (Original Appn Balance) No.6","Total  (Original Appn Balance) No.5","Total  (Original Appn Balance) No.4","Total  (Original Appn Balance) No.3","Total  (Original Appn Balance) No.2","Total  (Original Appn Balance) No.1","Fund Title","Department Title"
2017,1,"01","01 PERSONAL SERVICES","0100","SALARY CONTROL                      0100","010","01",100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000,100000.00,100000.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"01","01 PERSONAL SERVICES","0101","PERM FULL TIME-CIVILIAN             0101","010","01",13809858.00,13909858.00,13909858.00,13909858.00,13909858.00,13909858.00,13939858,13809858.00,13909858.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"01","01 PERSONAL SERVICES","0101","PERM FULL TIME-CIVILIAN             0101","010","01",130000.00,14039858.00,14039858.00,14039858.00,14039858.00,14039858.00,13939858,13939858.00,14039858.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"01","01 PERSONAL SERVICES","0111","PERM PART TIME                      0111","010","01",195000.00,14234858.00,14234858.00,14234858.00,14234858.00,14234858.00,195000,195000.00,14234858.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"01","01 PERSONAL SERVICES","0121","TEMPORARY/SEASONAL                  0121","010","01",75000.00,14309858.00,14309858.00,14309858.00,14309858.00,14309858.00,75000,75000.00,14309858.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0201","CLEANING AND LAUNDERING             0201","010","01",485.00,14310343.00,14310343.00,14310343.00,14310343.00,485.00,485,485.00,14310343.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0202","JANITORIAL SERVICES                 0202","010","01",2500.00,14312843.00,14312843.00,14312843.00,14312843.00,2985.00,2500,2500.00,14312843.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0209","TELEPHONE                           0209","010","01",2000.00,14314843.00,14314843.00,14314843.00,14314843.00,4985.00,2000,2000.00,14314843.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0210","POSTAGE                             0210","010","01",150000.00,14464843.00,14464843.00,14464843.00,14464843.00,154985.00,150000,150000.00,14464843.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0211","TRANSPORTATION                      0211","010","01",10000.00,14474843.00,14474843.00,14474843.00,14474843.00,164985.00,10000,10000.00,14474843.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0216","COMMERCIAL OFF-SHELF COMP SOFTWARE  0216","010","01",10000.00,14484843.00,14484843.00,14484843.00,14484843.00,174985.00,10000,10000.00,14484843.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0230","MEALS-NON-TRAVEL & OFFICL ENTERTAIN 0230","010","01",5000.00,14489843.00,14489843.00,14489843.00,14489843.00,179985.00,5000,5000.00,14489843.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0240","ADVERTISING/PROMOTIONAL ACTIVITIES  0240","010","01",600000.00,15089843.00,15089843.00,15089843.00,15089843.00,779985.00,600000,600000.00,15089843.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0250","PROFESSIONAL CONSULT/SPEC SERVICES  0250","010","01",605000.00,15694843.00,15694843.00,15694843.00,15694843.00,1384985.00,605000,605000.00,15694843.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0251","INFORMATION TECHNOLOGY-PROF SERVICE 0251","010","01",150000.00,15844843.00,15844843.00,15844843.00,15844843.00,1534985.00,150000,150000.00,15844843.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0255","DUES                                0255","010","01",2500.00,15847343.00,15847343.00,15847343.00,15847343.00,1537485.00,2500,2500.00,15847343.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0256","SEMINAR AND TRAINING SESSIONS       0256","010","01",5000.00,15852343.00,15852343.00,15852343.00,15852343.00,1542485.00,5000,5000.00,15852343.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0258","COURT REPORTERS                     0258","010","01",175000.00,16027343.00,16027343.00,16027343.00,16027343.00,1717485.00,175000,175000.00,16027343.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0260","REPAIR AND MAINTENANCE CHARGES      0260","010","01",10000.00,16037343.00,16037343.00,16037343.00,16037343.00,1727485.00,10000,10000.00,16037343.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0266","MAINT/SUPPORT-COMPUTR HARDWARE/SOFT 0266","010","01",25000.00,16062343.00,16062343.00,16062343.00,16062343.00,1752485.00,25000,25000.00,16062343.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0285","RENTS                               0285","010","01",2000.00,16064343.00,16064343.00,16064343.00,16064343.00,1754485.00,152000,2000.00,16064343.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"02","02 PURCHASE OF SERVICES","0285","RENTS                               0285","010","01",150000.00,16214343.00,16214343.00,16214343.00,16214343.00,1904485.00,152000,152000.00,16214343.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"03","03 MATERIALS AND SUPPLIES","0301","AGRICULTURAL AND BOTANICAL          0301","010","01",750.00,16215093.00,16215093.00,16215093.00,16215093.00,750.00,750,750.00,16215093.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
2017,1,"03","03 MATERIALS AND SUPPLIES","0304","BOOKS AND OTHER PUBLICATIONS        0304","010","01",110000.00,16325093.00,16325093.00,16325093.00,16325093.00,110750.00,140000,110000.00,16325093.00,"010 GENERAL OPERATING FD","01 CITY COUNCIL"
