fiscal_year,fund,department,class_id,class,subclass_id,subclass,total
2016,General Fund,City Council,1,Personal Services,100,Salary Control,100000
2016,General Fund,City Council,1,Personal Services,101,Perm Full Time-civilian,13939858
2016,General Fund,City Council,1,Personal Services,111,Perm Part Time,195000
2016,General Fund,City Council,1,Personal Services,121,Temporary Seasonal,75000
2016,General Fund,City Council,2,Purchase of Services,201,Cleaning and Laundering,485
2016,General Fund,City Council,2,Purchase of Services,202,Janitorial Services,2500
2016,General Fund,City Council,2,Purchase of Services,209,Telephone,2000
2016,General Fund,City Council,2,Purchase of Services,210,Postage,150000
2016,General Fund,City Council,2,Purchase of Services,211,Transportation,10000
2016,General Fund,City Council,2,Purchase of Services,216,Commercial Off-shelf Comp Software,10000
2016,General Fund,City Council,2,Purchase of Services,230,Meals-non-travel & Officl Entertain,5000
2016,General Fund,City Council,2,Purchase of Services,240,Advertising/promotional Activities,600000
2016,General Fund,City Council,2,Purchase of Services,250,Professional Consult/spec Services,605000
2016,General Fund,City Council,2,Purchase of Services,251,Information Technology-prof Service,150000
2016,General Fund,City Council,2,Purchase of Services,255,Dues,2500
2016,General Fund,City Council,2,Purchase of Services,256,Seminar and Training Sessions,5000
2016,General Fund,City Council,2,Purchase of Services,258,Court Reporters,175000
2016,General Fund,City Council,2,Purchase of Services,260,Repair and Maintenance Charges,10000
2016,General Fund,City Council,2,Purchase of Services,266,Maint/support-computr Hardware/soft,25000
2016,General Fund,City Council,2,Purchase of Services,285,Rents,152000
2016,General Fund,City Council,3,Materials and Supplies,301,Agricultural and Botanical,750
2016,General Fund,City Council,3,Materials and Supplies,304,Books and Other Publications,140000
2016,General Fund,City Council,3,Materials and Supplies,305,Building and Construction,750
2016,General Fund,City Council,3,Materials and Supplies,309,Cordage and Fibers,1000
2016,General Fund,City Council,3,Materials and Supplies,310,Electrical and Communication,3500
2016,General Fund,City Council,3,Materials and Supplies,313,Food,7500
2016,General Fund,City Council,3,Materials and Supplies,316,General Hardware and Minor Tools,1000
2016,General Fund,City Council,3,Materials and Supplies,318,"Janitorial, Laundry and Household",5000
2016,General Fund,City Council,3,Materials and Supplies,320,Office Materials and Supplies,90000
2016,General Fund,City Council,3,Materials and Supplies,324,"Precision, Photographic and Artists",1500
2016,General Fund,City Council,3,Materials and Supplies,325,Printing,110000
2016,General Fund,City Council,4,Equipment,420,Office Equipment,25000
2016,General Fund,City Council,4,Equipment,423,Plumbing/air Conditioning/space Htg,4000
2016,General Fund,City Council,4,Equipment,427,Computer Equipment & Peripherals,60000
2016,General Fund,City Council,4,Equipment,430,Furniture and Furnishings,60650
2016,General Fund,City Council,5,"Contributions, Indemnities, Refunds, Taxes",599,Other Expenses (noc),25000100
2016,General Fund,City Council,8,Payments to Other Funds,800,Pmt to Other Funds Control,100
2016,General Fund,City Council,9,Advances & Other Misc Payments,999,Standby Authorizations,100
2016,General Fund,Labor Relations,1,Personal Services,101,Perm Full Time-civilian,545080
2016,General Fund,Labor Relations,1,Personal Services,161,Overtime Civilian,13949
2016,General Fund,Labor Relations,2,Purchase of Services,211,Transportation,500
2016,General Fund,Labor Relations,2,Purchase of Services,256,Seminar and Training Sessions,4777
2016,General Fund,Labor Relations,3,Materials and Supplies,304,Books and Other Publications,5560
2016,General Fund,Labor Relations,3,Materials and Supplies,320,Office Materials and Supplies,1000
2016,General Fund,Labor Relations,4,Equipment,420,Office Equipment,1600
2016,General Fund,Office of Innovation and Technology,1,Personal Services,100,Salary Control,154453
2016,General Fund,Office of Innovation and Technology,1,Personal Services,101,Perm Full Time-civilian,18580449
2016,General Fund,Office of Innovation and Technology,1,Personal Services,109,Plus/minus Gross Adj,153725
2016,General Fund,Office of Innovation and Technology,1,Personal Services,111,Perm Part Time,104872
2016,General Fund,Office of Innovation and Technology,1,Personal Services,121,Temporary Seasonal,214153
2016,General Fund,Office of Innovation and Technology,1,Personal Services,161,Overtime Civilian,623185
2016,General Fund,Office of Innovation and Technology,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",56744
2016,General Fund,Office of Innovation and Technology,1,Personal Services,181,Shift,13100
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,209,Telephone,12387511
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,210,Postage,3000
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,211,Transportation,10950
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,216,Commercial Off-shelf Comp Software,3799054
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,220,Electric Current-structures/streets,210500
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,250,Professional Consult/spec Services,34137
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,251,Information Technology-prof Service,26474941
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,255,Dues,25269
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,256,Seminar and Training Sessions,62852
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,260,Repair and Maintenance Charges,4556900
