FY,FM,Char,Character Title,Sub-obj,Sub-object Title,Fund,Dept,Original Appn Balance,Total  (Original Appn Balance) No.8,Total  (Original Appn Balance) No.7,Total  (Original Appn Balance) No.6,Total  (Original Appn Balance) No.5,Total  (Original Appn Balance) No.4,Total  (Original Appn Balance) No.3,Total  (Original Appn Balance) No.2,Total  (Original Appn Balance) No.1,Fund Title,Department Title
2018,1,1,01 PERSONAL SERVICES,100,SALARY CONTROL                      0100,10,1,100000,100000,100000,100000,100000,100000,100000,100000,100000,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,1,200000,300000,300000,300000,300000,300000,14787111,200000,300000,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,1,14587111,14887111,14887111,14887111,14887111,14887111,14787111,14787111,14887111,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,1,01 PERSONAL SERVICES,111,PERM PART TIME                      0111,10,1,195000,15082111,15082111,15082111,15082111,15082111,195000,195000,15082111,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,1,01 PERSONAL SERVICES,121,TEMPORARY/SEASONAL                  0121,10,1,125000,15207111,15207111,15207111,15207111,15207111,125000,125000,15207111,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,201,CLEANING AND LAUNDERING             0201,10,1,485,15207596,15207596,15207596,15207596,485,485,485,15207596,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,202,JANITORIAL SERVICES                 0202,10,1,2500,15210096,15210096,15210096,15210096,2985,2500,2500,15210096,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,209,TELEPHONE                           0209,10,1,2000,15212096,15212096,15212096,15212096,4985,2000,2000,15212096,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,210,POSTAGE                             0210,10,1,135000,15347096,15347096,15347096,15347096,139985,135000,135000,15347096,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION                      0211,10,1,10000,15357096,15357096,15357096,15357096,149985,10000,10000,15357096,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,216,COMMERCIAL OFF-SHELF COMP SOFTWARE  0216,10,1,10000,15367096,15367096,15367096,15367096,159985,10000,10000,15367096,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,230,MEALS-NON-TRAVEL & OFFICL ENTERTAIN 0230,10,1,5000,15372096,15372096,15372096,15372096,164985,5000,5000,15372096,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,240,ADVERTISING/PROMOTIONAL ACTIVITIES  0240,10,1,600000,15972096,15972096,15972096,15972096,764985,600000,600000,15972096,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES  0250,10,1,672400,16644496,16644496,16644496,16644496,1437385,672400,672400,16644496,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,251,INFORMATION TECHNOLOGY-PROF SERVICE 0251,10,1,150000,16794496,16794496,16794496,16794496,1587385,150000,150000,16794496,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,255,DUES                                0255,10,1,2500,16796996,16796996,16796996,16796996,1589885,2500,2500,16796996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,1,5000,16801996,16801996,16801996,16801996,1594885,5000,5000,16801996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,258,COURT REPORTERS                     0258,10,1,150000,16951996,16951996,16951996,16951996,1744885,150000,150000,16951996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,1,50000,17001996,17001996,17001996,17001996,1794885,50000,50000,17001996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,266,MAINT/SUPPORT-COMPUTR HARDWARE/SOFT 0266,10,1,25000,17026996,17026996,17026996,17026996,1819885,25000,25000,17026996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,285,RENTS                               0285,10,1,2000,17028996,17028996,17028996,17028996,1821885,152000,2000,17028996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,2,02 PURCHASE OF SERVICES,285,RENTS                               0285,10,1,150000,17178996,17178996,17178996,17178996,1971885,152000,152000,17178996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,301,AGRICULTURAL AND BOTANICAL          0301,10,1,750,17179746,17179746,17179746,17179746,750,750,750,17179746,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS        0304,10,1,50000,17229746,17229746,17229746,17229746,50750,160000,50000,17229746,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS        0304,10,1,110000,17339746,17339746,17339746,17339746,160750,160000,160000,17339746,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,305,BUILDING AND CONSTRUCTION           0305,10,1,750,17340496,17340496,17340496,17340496,161500,750,750,17340496,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,309,CORDAGE AND FIBERS                  0309,10,1,1000,17341496,17341496,17341496,17341496,162500,1000,1000,17341496,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,310,ELECTRICAL AND COMMUNICATION        0310,10,1,3500,17344996,17344996,17344996,17344996,166000,3500,3500,17344996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,313,FOOD                                0313,10,1,7500,17352496,17352496,17352496,17352496,173500,7500,7500,17352496,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,316,GENERAL HARDWARE AND MINOR TOOLS    0316,10,1,1000,17353496,17353496,17353496,17353496,174500,1000,1000,17353496,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,318,"JANITORIAL, LAUNDRY AND HOUSEHOLD   0318",10,1,5000,17358496,17358496,17358496,17358496,179500,5000,5000,17358496,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,320,OFFICE MATERIALS AND SUPPLIES       0320,10,1,70000,17428496,17428496,17428496,17428496,249500,70000,70000,17428496,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,324,"PRECISION, PHOTOGRAPHIC AND ARTISTS 0324",10,1,1500,17429996,17429996,17429996,17429996,251000,1500,1500,17429996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,3,03 MATERIALS AND SUPPLIES,325,PRINTING                            0325,10,1,128000,17557996,17557996,17557996,17557996,379000,128000,128000,17557996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,4,04 EQUIPMENT,420,OFFICE EQUIPMENT                    0420,10,1,25000,17582996,17582996,17582996,17582996,25000,25000,25000,17582996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,4,04 EQUIPMENT,423,PLUMBING/AIR CONDITIONING/SPACE HTG 0423,10,1,4000,17586996,17586996,17586996,17586996,29000,4000,4000,17586996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,4,04 EQUIPMENT,427,COMPUTER EQUIPMENT & PERIPHERALS    0427,10,1,60000,17646996,17646996,17646996,17646996,89000,60000,60000,17646996,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,4,04 EQUIPMENT,430,FURNITURE AND FURNISHINGS           0430,10,1,60650,17707646,17707646,17707646,17707646,149650,60650,60650,17707646,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,5,"05 CONTRIBUTIONS,INDEMNITIES,REFDS,TAXES",599,OTHER EXPENSES (NOC)                0599,10,1,100,17707746,17707746,17707746,17707746,100,100,100,17707746,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,8,08 PAYMENTS TO OTHER FUNDS,800,PMT TO OTHER FUNDS CONTROL          0800,10,1,100,17707846,17707846,17707846,17707846,100,100,100,17707846,010 GENERAL OPERATING FD,01 CITY COUNCIL
