fiscal_year,fund,department,class_id,class,subclass_id,subclass,total
2018,General Operating Fund,City Council,1,Personal Services,100,Salary Control,100000
2018,General Operating Fund,City Council,1,Personal Services,101,Perm Full Time-Civilian,200000
2018,General Operating Fund,City Council,1,Personal Services,101,Perm Full Time-Civilian,14587111
2018,General Operating Fund,City Council,1,Personal Services,111,Perm Part Time,195000
2018,General Operating Fund,City Council,1,Personal Services,121,Temporary/Seasonal,125000
2018,General Operating Fund,City Council,2,Purchase of Services,201,Cleaning and Laundering,485
2018,General Operating Fund,City Council,2,Purchase of Services,202,Janitorial Services,2500
2018,General Operating Fund,City Council,2,Purchase of Services,209,Telephone,2000
2018,General Operating Fund,City Council,2,Purchase of Services,210,Postage,135000
2018,General Operating Fund,City Council,2,Purchase of Services,211,Transportation,10000
2018,General Operating Fund,City Council,2,Purchase of Services,216,Commercial Off-Shelf Comp Software,10000
2018,General Operating Fund,City Council,2,Purchase of Services,230,Meals-Non-Travel & Officl Entertain,5000
2018,General Operating Fund,City Council,2,Purchase of Services,240,Advertising/Promotional Activities,600000
2018,General Operating Fund,City Council,2,Purchase of Services,250,Professional Consult/Spec Services,672400
2018,General Operating Fund,City Council,2,Purchase of Services,251,Information Technology-Prof Service,150000
2018,General Operating Fund,City Council,2,Purchase of Services,255,Dues,2500
2018,General Operating Fund,City Council,2,Purchase of Services,256,Seminar and Training Sessions,5000
2018,General Operating Fund,City Council,2,Purchase of Services,258,Court Reporters,150000
2018,General Operating Fund,City Council,2,Purchase of Services,260,Repair and Maintenance Charges,50000
2018,General Operating Fund,City Council,2,Purchase of Services,266,Maint/Support-Computr Hardware/Soft,25000
2018,General Operating Fund,City Council,2,Purchase of Services,285,Rents,2000
2018,General Operating Fund,City Council,2,Purchase of Services,285,Rents,150000
2018,General Operating Fund,City Council,3,Materials and Supplies,301,Agricultural and Botanical,750
2018,General Operating Fund,City Council,3,Materials and Supplies,304,Books and Other Publications,50000
2018,General Operating Fund,City Council,3,Materials and Supplies,304,Books and Other Publications,110000
2018,General Operating Fund,City Council,3,Materials and Supplies,305,Building and Construction,750
2018,General Operating Fund,City Council,3,Materials and Supplies,309,Cordage and Fibers,1000
2018,General Operating Fund,City Council,3,Materials and Supplies,310,Electrical and Communication,3500
2018,General Operating Fund,City Council,3,Materials and Supplies,313,Food,7500
2018,General Operating Fund,City Council,3,Materials and Supplies,316,General Hardware and Minor Tools,1000
2018,General Operating Fund,City Council,3,Materials and Supplies,318,"Janitorial, Laundry and Household",5000
2018,General Operating Fund,City Council,3,Materials and Supplies,320,Office Materials and Supplies,70000
2018,General Operating Fund,City Council,3,Materials and Supplies,324,"Precision, Photographic and Artists",1500
2018,General Operating Fund,City Council,3,Materials and Supplies,325,Printing,128000
2018,General Operating Fund,City Council,4,Equipment,420,Office Equipment,25000
2018,General Operating Fund,City Council,4,Equipment,423,Plumbing/Air Conditioning/Space Htg,4000
2018,General Operating Fund,City Council,4,Equipment,427,Computer Equipment & Peripherals,60000
2018,General Operating Fund,City Council,4,Equipment,430,Furniture and Furnishings,60650
2018,General Operating Fund,City Council,5,"Contributions, Indemnities, Refunds, Taxes",599,Other Expenses (Noc),100
2018,General Operating Fund,City Council,8,Payments to Other Funds,800,Pmt to Other Funds Control,100
2018,General Operating Fund,City Council,9,Advances & Other Misc Payments,999,Standby Authorizations,100
2018,General Operating Fund,Mayor's Office-Labor Relations,1,Personal Services,100,Salary Control,4508
2018,General Operating Fund,Mayor's Office-Labor Relations,1,Personal Services,101,Perm Full Time-Civilian,747333
2018,General Operating Fund,Mayor's Office-Labor Relations,1,Personal Services,101,Perm Full Time-Civilian,836618
2018,General Operating Fund,Mayor's Office-Labor Relations,2,Purchase of Services,209,Telephone,1000
2018,General Operating Fund,Mayor's Office-Labor Relations,2,Purchase of Services,211,Transportation,1500
2018,General Operating Fund,Mayor's Office-Labor Relations,2,Purchase of Services,211,Transportation,600
2018,General Operating Fund,Mayor's Office-Labor Relations,2,Purchase of Services,250,Professional Consult/Spec Services,2500
2018,General Operating Fund,Mayor's Office-Labor Relations,2,Purchase of Services,255,Dues,500
