fiscal_year,fund,department,class_id,class,minor_class_id,minor_class,total
2016,General Operating Fund,City Council,1,Personal Services,100,Salary Control,$100000.00
2016,General Operating Fund,City Council,1,Personal Services,101,Perm Full Time-civilian,$13939858.00
2016,General Operating Fund,City Council,1,Personal Services,111,Perm Part Time,$195000.00
2016,General Operating Fund,City Council,1,Personal Services,121,Temporary Seasonal,$75000.00
2016,General Operating Fund,City Council,2,Purchase of Services,201,Cleaning and Laundering,$485.00
2016,General Operating Fund,City Council,2,Purchase of Services,202,Janitorial Services,$2500.00
2016,General Operating Fund,City Council,2,Purchase of Services,209,Telephone,$2000.00
2016,General Operating Fund,City Council,2,Purchase of Services,210,Postage,$150000.00
2016,General Operating Fund,City Council,2,Purchase of Services,211,Transportation,$10000.00
2016,General Operating Fund,City Council,2,Purchase of Services,216,Commercial Off-shelf Comp Software,$10000.00
2016,General Operating Fund,City Council,2,Purchase of Services,230,Meals-non-travel & Officl Entertain,$5000.00
2016,General Operating Fund,City Council,2,Purchase of Services,240,Advertising/promotional Activities,$600000.00
2016,General Operating Fund,City Council,2,Purchase of Services,250,Professional Consult/spec Services,$605000.00
2016,General Operating Fund,City Council,2,Purchase of Services,251,Information Technology-prof Service,$150000.00
2016,General Operating Fund,City Council,2,Purchase of Services,255,Dues,$2500.00
2016,General Operating Fund,City Council,2,Purchase of Services,256,Seminar and Training Sessions,$5000.00
2016,General Operating Fund,City Council,2,Purchase of Services,258,Court Reporters,$175000.00
2016,General Operating Fund,City Council,2,Purchase of Services,260,Repair and Maintenance Charges,$10000.00
2016,General Operating Fund,City Council,2,Purchase of Services,266,Maint/support-computr Hardware/soft,$25000.00
2016,General Operating Fund,City Council,2,Purchase of Services,285,Rents,$152000.00
2016,General Operating Fund,City Council,3,Materials and Supplies,301,Agricultural and Botanical,$750.00
2016,General Operating Fund,City Council,3,Materials and Supplies,304,Books and Other Publications,$140000.00
2016,General Operating Fund,City Council,3,Materials and Supplies,305,Building and Construction,$750.00
2016,General Operating Fund,City Council,3,Materials and Supplies,309,Cordage and Fibers,$1000.00
2016,General Operating Fund,City Council,3,Materials and Supplies,310,Electrical and Communication,$3500.00
2016,General Operating Fund,City Council,3,Materials and Supplies,313,Food,$7500.00
2016,General Operating Fund,City Council,3,Materials and Supplies,316,General Hardware and Minor Tools,$1000.00
2016,General Operating Fund,City Council,3,Materials and Supplies,318,"Janitorial, Laundry and Household",$5000.00
2016,General Operating Fund,City Council,3,Materials and Supplies,320,Office Materials and Supplies,$90000.00
2016,General Operating Fund,City Council,3,Materials and Supplies,324,"Precision, Photographic and Artists",$1500.00
2016,General Operating Fund,City Council,3,Materials and Supplies,325,Printing,$110000.00
2016,General Operating Fund,City Council,4,Equipment,420,Office Equipment,$25000.00
2016,General Operating Fund,City Council,4,Equipment,423,Plumbing/air Conditioning/space Htg,$4000.00
2016,General Operating Fund,City Council,4,Equipment,427,Computer Equipment & Peripherals,$60000.00
2016,General Operating Fund,City Council,4,Equipment,430,Furniture and Furnishings,$60650.00
2016,General Operating Fund,City Council,5,"Contributions, Indemnities, Refunds, Taxes",599,Other Expenses (noc),$25000100.00
2016,General Operating Fund,City Council,8,Payments to Other Funds,800,Pmt to Other Funds Control,$100.00
2016,General Operating Fund,City Council,9,Advances & Other Misc Payments,999,Standby Authorizations,$100.00
2016,General Operating Fund,Mayor's Office-labor Relations,1,Personal Services,101,Perm Full Time-civilian,$545080.00
2016,General Operating Fund,Mayor's Office-labor Relations,1,Personal Services,161,Overtime Civilian,$13949.00
2016,General Operating Fund,Mayor's Office-labor Relations,2,Purchase of Services,211,Transportation,$500.00
2016,General Operating Fund,Mayor's Office-labor Relations,2,Purchase of Services,256,Seminar and Training Sessions,$4777.00
2016,General Operating Fund,Mayor's Office-labor Relations,3,Materials and Supplies,304,Books and Other Publications,$5560.00
2016,General Operating Fund,Mayor's Office-labor Relations,3,Materials and Supplies,320,Office Materials and Supplies,$1000.00
2016,General Operating Fund,Mayor's Office-labor Relations,4,Equipment,420,Office Equipment,$1600.00
2016,General Operating Fund,Office of Innovation & Technology,1,Personal Services,100,Salary Control,$154453.00
2016,General Operating Fund,Office of Innovation & Technology,1,Personal Services,101,Perm Full Time-civilian,$18580449.00
