fiscal_year,fund,department,class_id,class,subclass_id,subclass,total
2017,General Operating Fund,City Council,01,Personal Services,0100,Salary Control,100000
2017,General Operating Fund,City Council,01,Personal Services,0101,Perm Full Time-Civilian,13809858
2017,General Operating Fund,City Council,01,Personal Services,0101,Perm Full Time-Civilian,130000
2017,General Operating Fund,City Council,01,Personal Services,0111,Perm Part Time,195000
2017,General Operating Fund,City Council,01,Personal Services,0121,Temporary/Seasonal,75000
2017,General Operating Fund,City Council,02,Purchase of Services,0201,Cleaning and Laundering,485
2017,General Operating Fund,City Council,02,Purchase of Services,0202,Janitorial Services,2500
2017,General Operating Fund,City Council,02,Purchase of Services,0209,Telephone,2000
2017,General Operating Fund,City Council,02,Purchase of Services,0210,Postage,150000
2017,General Operating Fund,City Council,02,Purchase of Services,0211,Transportation,10000
2017,General Operating Fund,City Council,02,Purchase of Services,0216,Commercial Off-Shelf Comp Software,10000
2017,General Operating Fund,City Council,02,Purchase of Services,0230,Meals-Non-Travel & Officl Entertain,5000
2017,General Operating Fund,City Council,02,Purchase of Services,0240,Advertising/Promotional Activities,600000
2017,General Operating Fund,City Council,02,Purchase of Services,0250,Professional Consult/Spec Services,605000
2017,General Operating Fund,City Council,02,Purchase of Services,0251,Information Technology-Prof Service,150000
2017,General Operating Fund,City Council,02,Purchase of Services,0255,Dues,2500
2017,General Operating Fund,City Council,02,Purchase of Services,0256,Seminar and Training Sessions,5000
2017,General Operating Fund,City Council,02,Purchase of Services,0258,Court Reporters,175000
2017,General Operating Fund,City Council,02,Purchase of Services,0260,Repair and Maintenance Charges,10000
2017,General Operating Fund,City Council,02,Purchase of Services,0266,Maint/Support-Computr Hardware/Soft,25000
2017,General Operating Fund,City Council,02,Purchase of Services,0285,Rents,2000
2017,General Operating Fund,City Council,02,Purchase of Services,0285,Rents,150000
2017,General Operating Fund,City Council,03,Materials and Supplies,0301,Agricultural and Botanical,750
2017,General Operating Fund,City Council,03,Materials and Supplies,0304,Books and Other Publications,110000
2017,General Operating Fund,City Council,03,Materials and Supplies,0304,Books and Other Publications,30000
2017,General Operating Fund,City Council,03,Materials and Supplies,0305,Building and Construction,750
2017,General Operating Fund,City Council,03,Materials and Supplies,0309,Cordage and Fibers,1000
2017,General Operating Fund,City Council,03,Materials and Supplies,0310,Electrical and Communication,3500
2017,General Operating Fund,City Council,03,Materials and Supplies,0313,Food,7500
2017,General Operating Fund,City Council,03,Materials and Supplies,0316,General Hardware and Minor Tools,1000
2017,General Operating Fund,City Council,03,Materials and Supplies,0318,"Janitorial, Laundry and Household",5000
2017,General Operating Fund,City Council,03,Materials and Supplies,0320,Office Materials and Supplies,90000
2017,General Operating Fund,City Council,03,Materials and Supplies,0324,"Precision, Photographic and Artists",1500
2017,General Operating Fund,City Council,03,Materials and Supplies,0325,Printing,110000
2017,General Operating Fund,City Council,04,Equipment,0420,Office Equipment,25000
2017,General Operating Fund,City Council,04,Equipment,0423,Plumbing/Air Conditioning/Space Htg,4000
2017,General Operating Fund,City Council,04,Equipment,0427,Computer Equipment & Peripherals,60000
2017,General Operating Fund,City Council,04,Equipment,0430,Furniture and Furnishings,60650
2017,General Operating Fund,City Council,05,"Contributions, Indemnities, Refunds, Taxes",0599,Other Expenses (Noc),100
2017,General Operating Fund,City Council,08,Payments to Other Funds,0800,Pmt to Other Funds Control,100
2017,General Operating Fund,City Council,09,Advances & Other Misc Payments,0999,Standby Authorizations,100
2017,General Operating Fund,Mayor's Office-Labor Relations,01,Personal Services,0101,Perm Full Time-Civilian,1059188
2017,General Operating Fund,Mayor's Office-Labor Relations,01,Personal Services,0161,Overtime-Civilian,23604
2017,General Operating Fund,Mayor's Office-Labor Relations,02,Purchase of Services,0211,Transportation,500
2017,General Operating Fund,Mayor's Office-Labor Relations,02,Purchase of Services,0256,Seminar and Training Sessions,4777
2017,General Operating Fund,Mayor's Office-Labor Relations,03,Materials and Supplies,0304,Books and Other Publications,5560
2017,General Operating Fund,Mayor's Office-Labor Relations,03,Materials and Supplies,0320,Office Materials and Supplies,1000
