Fiscal Year,Fund,Department,Class ID,Class,Total
2016,General Fund,Art Museum,500,"Contributions, Indemnities, Refunds, Taxes",2550000.00
2016,General Fund,Atwater Kent Museum,100,Personal Services,243498.00
2016,General Fund,Atwater Kent Museum,500,"Contributions, Indemnities, Refunds, Taxes",50000.00
2016,General Fund,Auditing,100,Personal Services,7772885.00
2016,General Fund,Auditing,200,Purchase of Services,497450.00
2016,General Fund,Auditing,300,Materials and Supplies,25000.00
2016,General Fund,Board of Ethics,100,Personal Services,924511.00
2016,General Fund,Board of Ethics,200,Purchase of Services,96000.00
2016,General Fund,Board of Ethics,300,Materials and Supplies,14000.00
2016,General Fund,Board of Revision of Taxes,100,Personal Services,819627.00
2016,General Fund,Board of Revision of Taxes,200,Purchase of Services,20200.00
2016,General Fund,Board of Revision of Taxes,300,Materials and Supplies,15727.00
2016,General Fund,City Commissioners,100,Personal Services,5624276.00
2016,General Fund,City Commissioners,200,Purchase of Services,3497350.00
2016,General Fund,City Commissioners,300,Materials and Supplies,541617.00
2016,General Fund,City Council,100,Personal Services,14309858.00
2016,General Fund,City Council,200,Purchase of Services,1804485.00
2016,General Fund,City Council,300,Materials and Supplies,410650.00
2016,General Fund,City Council,500,"Contributions, Indemnities, Refunds, Taxes",100.00
2016,General Fund,City Council,800,Payments to Other Funds,100.00
2016,General Fund,City Council,900,Advances & Other Misc Payments,100.00
2016,General Fund,City Planning Commission,100,Personal Services,2309534.00
2016,General Fund,City Planning Commission,200,Purchase of Services,79592.00
2016,General Fund,City Planning Commission,300,Materials and Supplies,40652.00
2016,General Fund,City Representative,100,Personal Services,418201.00
2016,General Fund,City Representative,200,Purchase of Services,561730.00
2016,General Fund,City Representative,300,Materials and Supplies,54000.00
2016,General Fund,City Treasurer,100,Personal Services,985689.00
2016,General Fund,City Treasurer,200,Purchase of Services,118444.00
2016,General Fund,City Treasurer,300,Materials and Supplies,22224.00
2016,General Fund,Civil Service Commission,100,Personal Services,147343.00
2016,General Fund,Civil Service Commission,200,Purchase of Services,29500.00
2016,General Fund,Civil Service Commission,300,Materials and Supplies,1094.00
2016,General Fund,Civil Service Commission,900,Advances & Other Misc Payments,6906535.00
2016,General Fund,Commerce,100,Personal Services,1943211.00
2016,General Fund,Commerce,200,Purchase of Services,1433481.00
2016,General Fund,Commerce,300,Materials and Supplies,26654.00
2016,General Fund,Commerce,500,"Contributions, Indemnities, Refunds, Taxes",500000.00
2016,General Fund,Commerce - Convention Center Subsidy,200,Purchase of Services,15000000.00
2016,General Fund,Commerce - Economic Stimulus,200,Purchase of Services,3294448.00
2016,General Fund,District Attorney,100,Personal Services,32490021.00
2016,General Fund,District Attorney,200,Purchase of Services,2467172.00
2016,General Fund,District Attorney,300,Materials and Supplies,525021.00
2016,General Fund,Finance,100,Personal Services,8801920.00
2016,General Fund,Finance,200,Purchase of Services,4370961.00
2016,General Fund,Finance,300,Materials and Supplies,110774.00
2016,General Fund,Finance,500,"Contributions, Indemnities, Refunds, Taxes",3950000.00
2016,General Fund,Finance - Community College Subsidy,500,"Contributions, Indemnities, Refunds, Taxes",30309207.00
2016,General Fund,Finance - Employee Benefits,100,Personal Services,1172182395.00
2016,General Fund,Finance - Hero Scholarship Awards,500,"Contributions, Indemnities, Refunds, Taxes",25000.00
2016,General Fund,Finance - Indemnities,500,"Contributions, Indemnities, Refunds, Taxes",38000000.00
2016,General Fund,Finance - Refunds,500,"Contributions, Indemnities, Refunds, Taxes",250000.00
2016,General Fund,Finance - School District Contribution,500,"Contributions, Indemnities, Refunds, Taxes",69184673.00
2016,General Fund,Finance - Witness Fees,200,Purchase of Services,171518.00
2016,General Fund,Fire,100,Personal Services,196783581.00
2016,General Fund,Fire,200,Purchase of Services,5895975.00
2016,General Fund,Fire,300,Materials and Supplies,7556014.00
2016,General Fund,Fire,800,Payments to Other Funds,8847226.00
2016,General Fund,First Judicial District,100,Personal Services,97206858.00
2016,General Fund,First Judicial District,200,Purchase of Services,10656574.00
2016,General Fund,First Judicial District,300,Materials and Supplies,2391868.00
2016,General Fund,Fleet Management,100,Personal Services,16544893.00
2016,General Fund,Fleet Management,200,Purchase of Services,9604396.00
2016,General Fund,Fleet Management,300,Materials and Supplies,35428211.00
2016,General Fund,Free Library,100,Personal Services,35777252.00
2016,General Fund,Free Library,200,Purchase of Services,2922077.00
2016,General Fund,Free Library,300,Materials and Supplies,2302659.00
2016,General Fund,Historical Commission,100,Personal Services,422771.00
2016,General Fund,Historical Commission,200,Purchase of Services,980.00
2016,General Fund,Historical Commission,300,Materials and Supplies,809.00
2016,General Fund,Human Relations Commission,100,Personal Services,2099408.00
2016,General Fund,Human Relations Commission,200,Purchase of Services,34657.00
2016,General Fund,Human Relations Commission,300,Materials and Supplies,13031.00
2016,General Fund,Human Services,100,Personal Services,24637310.00
2016,General Fund,Human Services,200,Purchase of Services,76779935.00
2016,General Fund,Human Services,300,Materials and Supplies,1312076.00
2016,General Fund,L&I  - Board of Building Standards,100,Personal Services,73970.00
