Fiscal Year,Fund,Department,Class ID,Class,Total
2016,Acute Care Hospital Assessment Fund,Finance,100,Personal Services,75000.0
2016,Acute Care Hospital Assessment Fund,Finance - Employee Benefits,100,Personal Services,268077.0
2016,Acute Care Hospital Assessment Fund,Public Health,100,Personal Services,5058008.0
2016,Acute Care Hospital Assessment Fund,Public Health,200,Purchase of Services,155638915.0
2016,Acute Care Hospital Assessment Fund,Public Health,300,"Materials, Supplies & Equipment",81000.0
2016,Acute Care Hospital Assessment Fund,Public Health,800,Payments to Other Funds,2000000.0
2016,Acute Care Hospital Assessment Fund,Revenue,100,Personal Services,30000.0
2016,Acute Care Hospital Assessment Fund,Revenue,300,"Materials, Supplies & Equipment",15000.0
2016,Aviation Fund,Aviation,100,Personal Services,46218000.0
2016,Aviation Fund,Aviation,200,Purchase of Services,96372841.0
2016,Aviation Fund,Aviation,300,"Materials, Supplies & Equipment",12050000.0
2016,Aviation Fund,Aviation,500,"Contributions, Indemnities, Refunds, Taxes",4205000.0
2016,Aviation Fund,Aviation,800,Payments to Other Funds,24600000.0
2016,Aviation Fund,Finance,200,Purchase of Services,4146000.0
2016,Aviation Fund,Finance - Employee Benefits,100,Personal Services,57194271.0
2016,Aviation Fund,Finance - Indemnities,500,"Contributions, Indemnities, Refunds, Taxes",2512000.0
2016,Aviation Fund,Fire,100,Personal Services,6563366.0
2016,Aviation Fund,Fire,200,Purchase of Services,15000.0
2016,Aviation Fund,Fire,300,"Materials, Supplies & Equipment",125000.0
2016,Aviation Fund,Fire,800,Payments to Other Funds,23000.0
2016,Aviation Fund,Fleet Management,100,Personal Services,1364188.0
2016,Aviation Fund,Fleet Management,200,Purchase of Services,588000.0
2016,Aviation Fund,Fleet Management,300,"Materials, Supplies & Equipment",6293000.0
2016,Aviation Fund,Law,100,Personal Services,1563803.0
2016,Aviation Fund,Law,200,Purchase of Services,432439.0
2016,Aviation Fund,Law,300,"Materials, Supplies & Equipment",24357.0
2016,Aviation Fund,Mayor's Office of Transportation & Utilities,100,Personal Services,191299.0
2016,Aviation Fund,Office of Innovation and Technology,100,Personal Services,297690.0
2016,Aviation Fund,Office of Innovation and Technology,200,Purchase of Services,8607358.0
2016,Aviation Fund,Office of Innovation and Technology,300,"Materials, Supplies & Equipment",715000.0
2016,Aviation Fund,Office of Sustainability,100,Personal Services,63873.0
2016,Aviation Fund,Office of Sustainability,200,Purchase of Services,30000.0
2016,Aviation Fund,Police,100,Personal Services,15611887.0
2016,Aviation Fund,Police,200,Purchase of Services,77500.0
2016,Aviation Fund,Police,300,"Materials, Supplies & Equipment",93000.0
2016,Aviation Fund,Public Property,200,Purchase of Services,26900000.0
2016,Aviation Fund,Sinking Fund Commission (Debt Service),700,Debt Service,123505128.0
2016,Car Rental Tax Fund,Sinking Fund Commission (Debt Service),200,Purchase of Services,6000000.0
2016,Community Development Fund,City Planning Commission,100,Personal Services,280000.0
2016,Community Development Fund,Commerce,100,Personal Services,935454.0
2016,Community Development Fund,Commerce,200,Purchase of Services,8461248.0
2016,Community Development Fund,Commerce,300,"Materials, Supplies & Equipment",8000.0
2016,Community Development Fund,Finance - Employee Benefits,100,Personal Services,4236559.0
2016,Community Development Fund,Finance - Provision for Other Grants,900,Advances & Other Misc Payments,20000000.0
2016,Community Development Fund,Law,100,Personal Services,154637.0
2016,Community Development Fund,Licenses and Inspections,100,Personal Services,514818.0
2016,Community Development Fund,Office of Housing and Community Development,100,Personal Services,4632873.0
2016,Community Development Fund,Office of Housing and Community Development,200,Purchase of Services,54626411.0
2016,Community Development Fund,Office of Housing and Community Development,300,"Materials, Supplies & Equipment",281000.0
2016,Community Development Fund,Office of Housing and Community Development,800,Payments to Other Funds,30000.0
2016,County Liquid Fuels Tax Fund,Streets,100,Personal Services,3734000.0
2016,County Liquid Fuels Tax Fund,Streets,200,Purchase of Services,861000.0
2016,County Liquid Fuels Tax Fund,Streets,300,"Materials, Supplies & Equipment",336330.0
2016,County Liquid Fuels Tax Fund,Streets,800,Payments to Other Funds,18670.0
2016,General Fund,Art Museum,500,"Contributions, Indemnities, Refunds, Taxes",2550000.0
2016,General Fund,Atwater Kent Museum,100,Personal Services,243498.0
2016,General Fund,Atwater Kent Museum,500,"Contributions, Indemnities, Refunds, Taxes",50000.0
2016,General Fund,Auditing,100,Personal Services,7772885.0
2016,General Fund,Auditing,200,Purchase of Services,497450.0
2016,General Fund,Auditing,300,"Materials, Supplies & Equipment",25000.0
2016,General Fund,Board of Ethics,100,Personal Services,924511.0
2016,General Fund,Board of Ethics,200,Purchase of Services,96000.0
2016,General Fund,Board of Ethics,300,"Materials, Supplies & Equipment",14000.0
2016,General Fund,Board of Revision of Taxes,100,Personal Services,819627.0
2016,General Fund,Board of Revision of Taxes,200,Purchase of Services,20200.0
2016,General Fund,Board of Revision of Taxes,300,"Materials, Supplies & Equipment",15727.0
2016,General Fund,City Commissioners,100,Personal Services,5624276.0
2016,General Fund,City Commissioners,200,Purchase of Services,3497350.0
2016,General Fund,City Commissioners,300,"Materials, Supplies & Equipment",541617.0
2016,General Fund,City Council,100,Personal Services,14309858.0
2016,General Fund,City Council,200,Purchase of Services,1804485.0
2016,General Fund,City Council,300,"Materials, Supplies & Equipment",410650.0
2016,General Fund,City Council,500,"Contributions, Indemnities, Refunds, Taxes",100.0
2016,General Fund,City Council,800,Payments to Other Funds,100.0
2016,General Fund,City Council,900,Advances & Other Misc Payments,100.0
2016,General Fund,City Planning Commission,100,Personal Services,2309534.0
