Department,Class ID,Class,Total
Art Museum,500,"Contrib., Indemnities & Taxes",2550000
Atwater Kent Museum,100,Personal Services,244817
Atwater Kent Museum,200,Purchase of Services,0
Atwater Kent Museum,500,"Contrib., Indemnities & Taxes",50000
Auditing (City Controller),100,Personal Services,7909512
Auditing (City Controller),200,Purchase of Services,497450
Auditing (City Controller),300,"Materials, Supplies & Equip.",25000
Auditing (City Controller),500,"Contrib., Indemnities & Taxes",0
Board of Ethics,100,Personal Services,961403
Board of Ethics,200,Purchase of Services,96000
Board of Ethics,300,"Materials, Supplies & Equip.",14000
Board of Revision of Taxes,100,Personal Services,819627
Board of Revision of Taxes,200,Purchase of Services,20200
Board of Revision of Taxes,300,"Materials, Supplies & Equip.",15727
City Commissioners,100,Personal Services,5638818
City Commissioners,200,Purchase of Services,3497350
City Commissioners,300,"Materials, Supplies & Equip.",541617
City Council,100,Personal Services,14309858
City Council,200,Purchase of Services,1904485
City Council,300,"Materials, Supplies & Equip.",510650
City Council,500,"Contrib., Indemnities & Taxes",100
City Council,800,Payments to Other Funds,100
City Council,900,Advances & Miscellaneous Payments,100
City Planning Commission,100,Personal Services,2369484
City Planning Commission,200,Purchase of Services,129592
City Planning Commission,300,"Materials, Supplies & Equip.",40652
City Representative,100,Personal Services,474381
City Representative,200,Purchase of Services,481730
City Representative,300,"Materials, Supplies & Equip.",54000
City Treasurer,100,Personal Services,1040058
City Treasurer,200,Purchase of Services,118444
City Treasurer,300,"Materials, Supplies & Equip.",22224
Civil Service Commission,100,Personal Services,148882
Civil Service Commission,200,Purchase of Services,29500
Civil Service Commission,300,"Materials, Supplies & Equip.",1094
Civil Service Commission,900,Advances & Miscellaneous Payments,10000000
Commerce,100,Personal Services,2374990
Commerce,200,Purchase of Services,1775481
Commerce,300,"Materials, Supplies & Equip.",26654
Commerce,500,"Contrib., Indemnities & Taxes",500000
Commerce-Convention Center Subsidy,200,Purchase of Services,15000000
Commerce-Economic Stimulus,200,Purchase of Services,3294448
District Attorney,100,Personal Services,33303525
District Attorney,200,Purchase of Services,2467172
District Attorney,300,"Materials, Supplies & Equip.",525021
District Attorney,500,"Contrib., Indemnities & Taxes",0
Finance,100,Personal Services,6911556
Finance,200,Purchase of Services,3029912
Finance,300,"Materials, Supplies & Equip.",103109
Finance,500,"Contrib., Indemnities & Taxes",2350000
Finance-Community College Subsidy,500,"Contrib., Indemnities & Taxes",28909207
Finance-Employee Benefits,100,Personal Services,1229284926
Finance-Hero Scholarship Awards,500,"Contrib., Indemnities & Taxes",25000
Finance-Indemnities (1),500,"Contrib., Indemnities & Taxes",40675000
Finance-Refunds,500,"Contrib., Indemnities & Taxes",250000
Finance-School District Contribution,500,"Contrib., Indemnities & Taxes",104263617
Finance-Witness Fees,200,Purchase of Services,171518
Finance-PGW  Reimbursement,500,"Contrib., Indemnities & Taxes",0
Fire,100,Personal Services,201369162
Fire,200,Purchase of Services,5375153
Fire,300,"Materials, Supplies & Equip.",7421014
Fire,500,"Contrib., Indemnities & Taxes",0
Fire,800,Payments to Other Funds,7647000
First Judicial District,100,Personal Services,97254698
First Judicial District,200,Purchase of Services,10656574
First Judicial District,300,"Materials, Supplies & Equip.",2391868
First Judicial District,500,"Contrib., Indemnities & Taxes",0
Fleet Management,100,Personal Services,16613280
Fleet Management,200,Purchase of Services,5104396
