Fiscal Year,Fund,Department,Class ID,Class,Total
2017,County Liquid Fuels Tax Fund,Streets,100,Personal Services,3734000.0
2017,County Liquid Fuels Tax Fund,Streets,200,Purchase of Services,747330.0
2017,County Liquid Fuels Tax Fund,Streets,800,Payments to Other Funds,18670.0
2017,County Liquid Fuels Tax Fund,Streets,100,Personal Services,3734000.0
2017,County Liquid Fuels Tax Fund,Streets,200,Purchase of Services,747330.0
2017,County Liquid Fuels Tax Fund,Streets,800,Payments to Other Funds,18670.0
2017,Special Gasoline Tax Fund,Streets,100,Personal Services,4057500.0
2017,Special Gasoline Tax Fund,Streets,300,"Materials, Supplies & Equipment",13102165.0
2017,Special Gasoline Tax Fund,Streets,200,Purchase of Services,16590335.0
2017,Special Gasoline Tax Fund,Streets,800,Payments to Other Funds,20000.0
2017,Special Gasoline Tax Fund,Finance - Emp. Benefits,100,Personal Services,1000000.0
2017,Special Gasoline Tax Fund,Finance - Emp. Benefits,100,Personal Services,5057500.0
2017,Special Gasoline Tax Fund,Finance - Emp. Benefits,300,"Materials, Supplies & Equipment",13102165.0
2017,Special Gasoline Tax Fund,Finance - Emp. Benefits,200,Purchase of Services,16590335.0
2017,Special Gasoline Tax Fund,Finance - Emp. Benefits,800,Payments to Other Funds,20000.0
2017,Health Choices Behavioral Health Fund,Office of Bh/Mr Services,300,"Materials, Supplies & Equipment",50000.0
2017,Health Choices Behavioral Health Fund,Office of Bh/Mr Services,200,Purchase of Services,1300350000.0
2017,Health Choices Behavioral Health Fund,Office of Bh/Mr Services,800,Payments to Other Funds,1600000.0
2017,Health Choices Behavioral Health Fund,Office of Bh/Mr Services,300,"Materials, Supplies & Equipment",50000.0
2017,Health Choices Behavioral Health Fund,Office of Bh/Mr Services,200,Purchase of Services,1300350000.0
2017,Health Choices Behavioral Health Fund,Office of Bh/Mr Services,800,Payments to Other Funds,1600000.0
2017,Hotel Room Rental Tax Fund,City Rep/Commerce,500,"Contributions, Indemnities, Refunds, Taxes",63954000.0
2017,Hotel Room Rental Tax Fund,City Rep/Commerce,500,"Contributions, Indemnities, Refunds, Taxes",63954000.0
2017,Grants Revenue Fund,Oit,100,Personal Services,605300.0
2017,Grants Revenue Fund,Oit,300,"Materials, Supplies & Equipment",10450.0
2017,Grants Revenue Fund,Oit,200,Purchase of Services,834939.0
2017,Grants Revenue Fund,Oit,800,Payments to Other Funds,43005648.0
2017,Grants Revenue Fund,Mayor's Office,100,Personal Services,1021541.0
2017,Grants Revenue Fund,Mayor's Office,300,"Materials, Supplies & Equipment",5120.0
2017,Grants Revenue Fund,Mayor's Office,200,Purchase of Services,8929.0
2017,Grants Revenue Fund,Office of Housing,200,Purchase of Services,116180000.0
2017,Grants Revenue Fund,M.O.C.S.,100,Personal Services,3102912.0
2017,Grants Revenue Fund,M.O.C.S.,300,"Materials, Supplies & Equipment",58465.0
2017,Grants Revenue Fund,M.O.C.S.,200,Purchase of Services,12979913.0
2017,Grants Revenue Fund,Managing Director,100,Personal Services,2518877.0
2017,Grants Revenue Fund,Managing Director,300,"Materials, Supplies & Equipment",242926.0
2017,Grants Revenue Fund,Managing Director,200,Purchase of Services,5862479.0
2017,Grants Revenue Fund,Police,100,Personal Services,6193806.0
2017,Grants Revenue Fund,Police,300,"Materials, Supplies & Equipment",10889084.0
2017,Grants Revenue Fund,Police,200,Purchase of Services,3832048.0
2017,Grants Revenue Fund,Streets,100,Personal Services,1035000.0
2017,Grants Revenue Fund,Streets,300,"Materials, Supplies & Equipment",4604000.0
2017,Grants Revenue Fund,Streets,200,Purchase of Services,19111000.0
2017,Grants Revenue Fund,Fire,100,Personal Services,15584447.0
2017,Grants Revenue Fund,Fire,300,"Materials, Supplies & Equipment",934732.0
2017,Grants Revenue Fund,Fire,200,Purchase of Services,6300019.0
2017,Grants Revenue Fund,Health,100,Personal Services,15472454.0
2017,Grants Revenue Fund,Health,300,"Materials, Supplies & Equipment",2229209.0
2017,Grants Revenue Fund,Health,200,Purchase of Services,65216029.0
2017,Grants Revenue Fund,Health,800,Payments to Other Funds,771376.0
2017,Grants Revenue Fund,Office of Bh/Mr Services,100,Personal Services,23935379.0
2017,Grants Revenue Fund,Office of Bh/Mr Services,300,"Materials, Supplies & Equipment",290000.0
2017,Grants Revenue Fund,Office of Bh/Mr Services,200,Purchase of Services,237182673.0
2017,Grants Revenue Fund,Office of Bh/Mr Services,800,Payments to Other Funds,79010.0
2017,Grants Revenue Fund,Parks & Recreation,100,Personal Services,3664199.0
2017,Grants Revenue Fund,Parks & Recreation,300,"Materials, Supplies & Equipment",6846240.0
2017,Grants Revenue Fund,Parks & Recreation,200,Purchase of Services,1627045.0
2017,Grants Revenue Fund,Parks & Recreation,500,"Contributions, Indemnities, Refunds, Taxes",100000.0
2017,Grants Revenue Fund,Human Services,100,Personal Services,119978926.0
2017,Grants Revenue Fund,Human Services,300,"Materials, Supplies & Equipment",1833876.0
2017,Grants Revenue Fund,Human Services,200,Purchase of Services,446146244.0
2017,Grants Revenue Fund,Prisons,200,Purchase of Services,30000.0
2017,Grants Revenue Fund,O.S.H.,100,Personal Services,610701.0
2017,Grants Revenue Fund,O.S.H.,300,"Materials, Supplies & Equipment",1000000.0
2017,Grants Revenue Fund,O.S.H.,200,Purchase of Services,45842016.0
2017,Grants Revenue Fund,Licenses & Inspections,200,Purchase of Services,4500000.0
2017,Grants Revenue Fund,Finance - Prov. For Other Grants,900,Advances & Other Misc Payments,203800585.0
2017,Grants Revenue Fund,Revenue,200,Purchase of Services,21425000.0
2017,Grants Revenue Fund,Commerce,100,Personal Services,49814.0
2017,Grants Revenue Fund,Commerce,200,Purchase of Services,10292701.0
2017,Grants Revenue Fund,Off of Sustainability,100,Personal Services,40000.0
2017,Grants Revenue Fund,City Planning Comm,100,Personal Services,123204.0
2017,Grants Revenue Fund,City Planning Comm,200,Purchase of Services,355144.0
2017,Grants Revenue Fund,City Planning Comm,800,Payments to Other Funds,400.0
2017,Grants Revenue Fund,Free Library,100,Personal Services,1152961.0
2017,Grants Revenue Fund,Free Library,300,"Materials, Supplies & Equipment",3378378.0
2017,Grants Revenue Fund,Free Library,200,Purchase of Services,3739590.0
2017,Grants Revenue Fund,Auditing,300,"Materials, Supplies & Equipment",249999.0
2017,Grants Revenue Fund,District Attorney,100,Personal Services,14949628.0
2017,Grants Revenue Fund,District Attorney,300,"Materials, Supplies & Equipment",61550.0
2017,Grants Revenue Fund,District Attorney,200,Purchase of Services,1020850.0
2017,Grants Revenue Fund,City Commissioners,100,Personal Services,100000.0
2017,Grants Revenue Fund,City Commissioners,300,"Materials, Supplies & Equipment",200000.0
2017,Grants Revenue Fund,City Commissioners,200,Purchase of Services,600000.0
2017,Grants Revenue Fund,First Judicial District,100,Personal Services,41669189.0
2017,Grants Revenue Fund,First Judicial District,300,"Materials, Supplies & Equipment",536595.0
2017,Grants Revenue Fund,First Judicial District,200,Purchase of Services,5404400.0
2017,Grants Revenue Fund,First Judicial District,100,Personal Services,251808338.0
2017,Grants Revenue Fund,First Judicial District,300,"Materials, Supplies & Equipment",33370624.0
